City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
32,notodden,59.5594,9.2585,8.33,72,71,0.45,NO,1681854785
33,oranjemund,-28.55,16.4333,16.32,70,0,1.06,NA,1681854786
34,adamstown,-25.066,-130.1015,24.77,73,20,6.01,PN,1681854786
35,belmonte,-15.8631,-38.8828,26.39,84,14,4.69,BR,1681854786
36,avarua,-21.2078,-159.775,24.03,83,75,7.2,CK,1681854787
37,stanley,54.868,-1.6985,6.05,92,75,3.09,GB,1681854787
38,maloye ganyushkino,46.6,49.2667,10.74,58,92,6.55,KZ,1681854787
39,shache,38.4167,77.2406,14.43,15,100,6.22,CN,1681854788
40,vicuna,-30.0319,-70.7081,24.32,28,0,1.97,CL,1681854788
41,dolores,-36.3132,-57.6792,12.57,59,86,5.28,AR,1681854788
42,pencoed,51.5237,-3.5002,11.19,63,100,7.72,GB,1681854789
43,gizo,-8.103,156.8419,28.12,64,49,2.15,SB,1681854789
44,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,75,75,6.0,RU,1681854789
45,yuzhno-sukhokumsk,44.6581,45.6436,8.27,69,94,6.31,RU,1681854789
46,port lincoln,-34.7333,135.8667,14.86,56,58,5.11,AU,1681854790
47,karabudakhkent,42.7087,47.5673,5.7,93,100,2.0,RU,1681854790
48,whitehorse,60.7161,-135.0538,3.39,93,100,2.57,CA,1681854767
49,vila franca do campo,37.7167,-25.4333,14.23,70,100,0.87,PT,1681854791
50,harpswell center,43.8018,-69.9842,12.9,58,86,5.81,US,1681854791
51,ta`u,-14.2336,-169.5144,26.55,81,100,8.48,AS,1681854791
52,kenai,60.5544,-151.2583,3.03,38,0,0.0,US,1681854792
53,kosmach,48.7509,24.3673,5.25,96,100,1.02,UA,1681854792
54,yuzhno-kurilsk,44.0306,145.8556,4.63,71,92,0.93,RU,1681854792
55,sastre,-31.7676,-61.8289,17.87,32,39,5.5,AR,1681854792
56,blackmans bay,-43.0167,147.3167,11.4,80,71,2.47,AU,1681854793
57,awjilah,29.1081,21.2869,17.12,49,82,8.15,LY,1681854793
58,invercargill,-46.4,168.35,11.68,82,100,0.89,NZ,1681854793
59,puerto baquerizo moreno,-0.9,-89.6,24.55,94,75,3.09,EC,1681854752
60,berezovyy,51.6667,135.7,5.73,65,100,1.84,RU,1681854794
61,malegaon,20.55,74.5333,29.51,29,9,2.0,IN,1681854794
62,college,64.8569,-147.8028,-1.9,57,100,6.69,US,1681854794
63,udachny,66.4167,112.4,-5.86,67,100,4.6,RU,1681854794
64,lihue,21.9789,-159.3672,23.58,86,100,7.2,US,1681854794
65,hithadhoo,-0.6,73.0833,28.43,70,94,1.91,MV,1681854795
66,pandan,14.0453,124.1694,27.81,73,81,5.34,PH,1681854795
67,kerikeri,-35.2268,173.9474,20.51,96,85,0.45,NZ,1681854795
68,iqaluit,63.7506,-68.5145,-12.15,72,75,5.66,CA,1681854796
69,thompson,55.7435,-97.8558,1.09,29,20,5.14,CA,1681854796
70,yabelo,4.8833,38.0833,14.7,92,49,3.31,ET,1681854796
71,isafjordur,66.0755,-23.124,6.48,87,100,3.9,IS,1681854797
72,otjiwarongo,-20.4637,16.6477,18.55,47,54,4.39,NA,1681854797
73,vila velha,-20.3297,-40.2925,28.3,84,0,4.12,BR,1681854797
74,west island,-12.1568,96.8225,26.99,78,75,3.6,CC,1681854798
75,port mathurin,-19.6833,63.4167,26.37,75,32,8.1,MU,1681854799
76,chinde,26.8418,88.0763,19.88,30,8,3.02,NP,1681854799
77,pisco,-13.7,-76.2167,25.03,69,54,10.8,PE,1681854799
78,ribeira grande,38.5167,-28.7,14.87,73,79,2.24,PT,1681854800
79,acarau,-2.8856,-40.12,28.25,74,98,5.49,BR,1681854800
80,madras,13.0878,80.2785,27.99,90,20,2.57,IN,1681854548
81,bikenibeu village,1.3673,173.1241,29.98,74,20,2.57,KI,1681854801
82,santana,-0.0583,-51.1817,29.1,84,40,2.06,BR,1681854549
83,grytviken,-54.2811,-36.5092,2.9,87,89,0.1,GS,1681854802
84,port elizabeth,-33.918,25.5701,17.4,96,20,1.03,ZA,1681854802
85,laguna,38.421,-121.4238,17.84,32,0,4.12,US,1681854802
86,bilibino,68.0546,166.4372,-2.85,86,100,1.59,RU,1681854802
87,pokachi,61.7198,75.3683,-10.78,95,99,4.14,RU,1681854802
88,olonkinbyen,70.9221,-8.7187,0.96,94,89,6.84,SJ,1681854803
89,popondetta,-8.7537,148.2534,25.39,82,33,0.56,PG,1681854803
90,tsiombe,-25.3,45.4833,22.98,81,5,6.51,MG,1681854803
91,kingston,17.997,-76.7936,28.53,81,40,5.66,JM,1681854608
92,meadow lake,34.8014,-106.5436,25.34,7,73,8.92,US,1681854804
93,klyuchi,52.2667,79.1667,-4.93,93,100,5.76,RU,1681854804
94,ilulissat,69.2167,-51.1,-2.99,80,100,0.0,GL,1681854805
95,keflavik,64.0049,-22.5624,9.95,100,100,5.14,IS,1681854805
96,nebraska city,40.6767,-95.8592,23.24,35,0,8.23,US,1681854805
97,howrah,22.5892,88.3103,30.0,84,20,2.57,IN,1681854806
98,prince rupert,54.3161,-130.3201,10.05,52,40,4.63,CA,1681854806
99,matoury,4.8483,-52.3317,24.98,94,0,2.06,GF,1681854806
100,phitsanulok,16.9167,100.5,26.64,65,0,2.21,TH,1681854806
101,caleta de carquin,-11.0925,-77.6267,25.26,74,70,5.76,PE,1681854807
102,galappo,-4.2667,35.85,14.85,97,100,1.26,TZ,1681854807
103,afaahiti,-17.75,-149.2833,28.93,76,26,8.16,PF,1681854808
104,suva,-18.1416,178.4415,27.71,83,75,2.06,FJ,1681854808
105,namibe,-15.1961,12.1522,25.81,70,48,1.47,AO,1681854808
106,badger,64.8,-147.5333,-1.94,55,100,6.69,US,1681854808
107,yellowknife,62.456,-114.3525,7.29,39,0,7.2,CA,1681854672
108,arys,42.4252,68.795,4.47,60,0,3.6,KZ,1681854809
109,menongue,-14.6585,17.691,18.74,78,99,1.37,AO,1681854809
110,hermanus,-34.4187,19.2345,15.45,81,52,3.55,ZA,1681854809
111,yazykovo,55.2199,56.1353,6.54,69,100,2.02,RU,1681854810
112,ghadamis,30.1337,9.5007,22.16,22,0,3.01,LY,1681854810
113,ust'-ordynskiy,52.805,104.7508,-6.76,63,100,3.12,RU,1681854810
114,chonchi,-42.6128,-73.8092,13.56,97,100,0.64,CL,1681854811
115,kpandae,8.4689,-0.0113,25.54,79,99,2.15,GH,1681854811
116,coronel suarez,-37.4547,-61.9334,13.78,40,100,3.92,AR,1681854811
117,polyarnyy,69.1989,33.4478,2.07,85,100,7.22,RU,1681854812
118,tabas,33.5959,56.9244,17.44,21,0,2.73,IR,1681854812
119,hasaki,35.7333,140.8333,11.79,82,7,3.79,JP,1681854549
120,vorgashor,67.5833,63.95,-21.64,100,26,3.1,RU,1681854812
121,sulak,43.2734,47.5146,9.49,78,38,10.61,RU,1681854812
122,as sulayyil,20.4607,45.5779,27.14,39,26,5.06,SA,1681854813
123,newman,37.3138,-121.0208,17.25,38,98,1.79,US,1681854813
124,bayanhongor,46.7167,100.1167,-4.35,33,100,4.1,MN,1681854813
125,cabo san lucas,22.8909,-109.9124,30.9,50,40,5.66,MX,1681854814
126,igarka,67.4667,86.5833,-20.93,100,28,2.85,RU,1681854814
127,aracati,-4.5617,-37.7697,25.8,88,100,2.74,BR,1681854652
128,illizi,26.4833,8.4667,24.1,16,0,3.76,DZ,1681854814
129,victorica,-36.2151,-65.4359,15.37,49,100,9.76,AR,1681854815
130,coahuayana de hidalgo,18.7,-103.6583,31.76,40,54,3.3,MX,1681854815
